ts,connected,time
2020-02-08 00:00:00,0,00:00:00
2020-02-08 00:30:00,0,00:30:00
2020-02-08 01:00:00,2,01:00:00
2020-02-08 01:30:00,3,01:30:00
2020-02-08 02:00:00,7,02:00:00
2020-02-08 02:30:00,10,02:30:00
2020-02-08 03:00:00,10,03:00:00
2020-02-08 03:30:00,10,03:30:00
2020-02-08 04:00:00,9,04:00:00
2020-02-08 04:30:00,10,04:30:00
2020-02-08 05:00:00,10,05:00:00
2020-02-08 05:30:00,10,05:30:00
2020-02-08 06:00:00,11,06:00:00
2020-02-08 06:30:00,12,06:30:00
2020-02-08 07:00:00,15,07:00:00
2020-02-08 07:30:00,19,07:30:00
2020-02-08 08:00:00,19,08:00:00
2020-02-08 08:30:00,19,08:30:00
2020-02-08 09:00:00,22,09:00:00
2020-02-08 09:30:00,25,09:30:00
2020-02-08 10:00:00,34,10:00:00
2020-02-08 10:30:00,39,10:30:00
2020-02-08 11:00:00,46,11:00:00
2020-02-08 11:30:00,48,11:30:00
2020-02-08 12:00:00,47,12:00:00
2020-02-08 12:30:00,43,12:30:00
2020-02-08 13:00:00,46,13:00:00
2020-02-08 13:30:00,45,13:30:00
2020-02-08 14:00:00,48,14:00:00
2020-02-08 14:30:00,52,14:30:00
2020-02-08 15:00:00,51,15:00:00
2020-02-08 15:30:00,43,15:30:00
2020-02-08 16:00:00,48,16:00:00
2020-02-08 16:30:00,46,16:30:00
2020-02-08 17:00:00,51,17:00:00
2020-02-08 17:30:00,58,17:30:00
2020-02-08 18:00:00,58,18:00:00
2020-02-08 18:30:00,57,18:30:00
2020-02-08 19:00:00,52,19:00:00
2020-02-08 19:30:00,52,19:30:00
2020-02-08 20:00:00,50,20:00:00
2020-02-08 20:30:00,50,20:30:00
2020-02-08 21:00:00,49,21:00:00
2020-02-08 21:30:00,51,21:30:00
2020-02-08 22:00:00,46,22:00:00
2020-02-08 22:30:00,44,22:30:00
2020-02-08 23:00:00,44,23:00:00
2020-02-08 23:30:00,44,23:30:00
2020-02-08 23:59:59,43,23:59:59
2020-02-09 00:00:00,43,00:00:00
2020-02-09 00:30:00,47,00:30:00
2020-02-09 01:00:00,49,01:00:00
2020-02-09 01:30:00,47,01:30:00
2020-02-09 02:00:00,48,02:00:00
2020-02-09 02:30:00,49,02:30:00
2020-02-09 03:00:00,49,03:00:00
2020-02-09 03:30:00,49,03:30:00
2020-02-09 04:00:00,49,04:00:00
2020-02-09 04:30:00,49,04:30:00
2020-02-09 05:00:00,49,05:00:00
2020-02-09 05:30:00,49,05:30:00
2020-02-09 06:00:00,49,06:00:00
2020-02-09 06:30:00,48,06:30:00
2020-02-09 07:00:00,51,07:00:00
2020-02-09 07:30:00,54,07:30:00
2020-02-09 08:00:00,48,08:00:00
2020-02-09 08:30:00,49,08:30:00
2020-02-09 09:00:00,54,09:00:00
2020-02-09 09:30:00,54,09:30:00
2020-02-09 10:00:00,52,10:00:00
2020-02-09 10:30:00,63,10:30:00
2020-02-09 11:00:00,66,11:00:00
2020-02-09 11:30:00,65,11:30:00
2020-02-09 12:00:00,63,12:00:00
2020-02-09 12:30:00,61,12:30:00
2020-02-09 13:00:00,63,13:00:00
2020-02-09 13:30:00,64,13:30:00
2020-02-09 14:00:00,58,14:00:00
2020-02-09 14:30:00,59,14:30:00
2020-02-09 15:00:00,60,15:00:00
2020-02-09 15:30:00,55,15:30:00
2020-02-09 16:00:00,57,16:00:00
2020-02-09 16:30:00,55,16:30:00
2020-02-09 17:00:00,54,17:00:00
2020-02-09 17:30:00,55,17:30:00
2020-02-09 18:00:00,54,18:00:00
2020-02-09 18:30:00,49,18:30:00
2020-02-09 19:00:00,48,19:00:00
2020-02-09 19:30:00,48,19:30:00
2020-02-09 20:00:00,45,20:00:00
2020-02-09 20:30:00,45,20:30:00
2020-02-09 21:00:00,44,21:00:00
2020-02-09 21:30:00,41,21:30:00
2020-02-09 22:00:00,41,22:00:00
2020-02-09 22:30:00,40,22:30:00
2020-02-09 23:00:00,40,23:00:00
2020-02-09 23:30:00,39,23:30:00
2020-02-09 23:59:59,38,23:59:59
2020-02-10 00:00:00,38,00:00:00
2020-02-10 00:30:00,36,00:30:00
2020-02-10 01:00:00,36,01:00:00
2020-02-10 01:30:00,36,01:30:00
2020-02-10 02:00:00,35,02:00:00
2020-02-10 02:30:00,35,02:30:00
2020-02-10 03:00:00,35,03:00:00
2020-02-10 03:30:00,35,03:30:00
2020-02-10 04:00:00,35,04:00:00
2020-02-10 04:30:00,34,04:30:00
2020-02-10 05:00:00,35,05:00:00
2020-02-10 05:30:00,35,05:30:00
2020-02-10 06:00:00,37,06:00:00
2020-02-10 06:30:00,37,06:30:00
2020-02-10 07:00:00,33,07:00:00
2020-02-10 07:30:00,30,07:30:00
2020-02-10 08:00:00,34,08:00:00
2020-02-10 08:30:00,37,08:30:00
2020-02-10 09:00:00,43,09:00:00
2020-02-10 09:30:00,39,09:30:00
2020-02-10 10:00:00,45,10:00:00
