ts,connected,time
2020-02-09 00:00:00,43,00:00:00
2020-02-09 00:30:00,47,00:30:00
2020-02-09 01:00:00,49,01:00:00
2020-02-09 01:30:00,47,01:30:00
2020-02-09 02:00:00,48,02:00:00
2020-02-09 02:30:00,49,02:30:00
2020-02-09 03:00:00,49,03:00:00
2020-02-09 03:30:00,49,03:30:00
2020-02-09 04:00:00,49,04:00:00
2020-02-09 04:30:00,49,04:30:00
2020-02-09 05:00:00,49,05:00:00
2020-02-09 05:30:00,49,05:30:00
2020-02-09 06:00:00,49,06:00:00
2020-02-09 06:30:00,48,06:30:00
2020-02-09 07:00:00,51,07:00:00
2020-02-09 07:30:00,54,07:30:00
2020-02-09 08:00:00,48,08:00:00
2020-02-09 08:30:00,49,08:30:00
2020-02-09 09:00:00,54,09:00:00
2020-02-09 09:30:00,54,09:30:00
2020-02-09 10:00:00,52,10:00:00
2020-02-09 10:30:00,63,10:30:00
2020-02-09 11:00:00,66,11:00:00
2020-02-09 11:30:00,65,11:30:00
2020-02-09 12:00:00,63,12:00:00
2020-02-09 12:30:00,61,12:30:00
2020-02-09 13:00:00,63,13:00:00
2020-02-09 13:30:00,64,13:30:00
2020-02-09 14:00:00,58,14:00:00
2020-02-09 14:30:00,59,14:30:00
2020-02-09 15:00:00,60,15:00:00
2020-02-09 15:30:00,55,15:30:00
2020-02-09 16:00:00,57,16:00:00
2020-02-09 16:30:00,55,16:30:00
2020-02-09 17:00:00,54,17:00:00
2020-02-09 17:30:00,55,17:30:00
2020-02-09 18:00:00,54,18:00:00
2020-02-09 18:30:00,49,18:30:00
2020-02-09 19:00:00,48,19:00:00
2020-02-09 19:30:00,48,19:30:00
2020-02-09 20:00:00,45,20:00:00
2020-02-09 20:30:00,45,20:30:00
2020-02-09 21:00:00,44,21:00:00
2020-02-09 21:30:00,41,21:30:00
2020-02-09 22:00:00,41,22:00:00
2020-02-09 22:30:00,40,22:30:00
2020-02-09 23:00:00,40,23:00:00
2020-02-09 23:30:00,39,23:30:00
2020-02-09 23:59:59,38,23:59:59
2020-02-16 00:00:00,35,00:00:00
2020-02-16 00:30:00,35,00:30:00
2020-02-16 01:00:00,34,01:00:00
2020-02-16 01:30:00,34,01:30:00
2020-02-16 02:00:00,34,02:00:00
2020-02-16 02:30:00,34,02:30:00
2020-02-16 03:00:00,35,03:00:00
2020-02-16 03:30:00,35,03:30:00
2020-02-16 04:00:00,35,04:00:00
2020-02-16 04:30:00,36,04:30:00
2020-02-16 05:00:00,37,05:00:00
2020-02-16 05:30:00,37,05:30:00
2020-02-16 06:00:00,36,06:00:00
2020-02-16 06:30:00,37,06:30:00
2020-02-16 07:00:00,40,07:00:00
2020-02-16 07:30:00,40,07:30:00
2020-02-16 08:00:00,40,08:00:00
2020-02-16 08:30:00,41,08:30:00
2020-02-16 09:00:00,48,09:00:00
2020-02-16 09:30:00,52,09:30:00
2020-02-16 10:00:00,55,10:00:00
2020-02-16 10:30:00,49,10:30:00
2020-02-16 11:00:00,49,11:00:00
2020-02-16 11:30:00,52,11:30:00
2020-02-16 12:00:00,55,12:00:00
2020-02-16 12:30:00,57,12:30:00
2020-02-16 13:00:00,60,13:00:00
2020-02-16 13:30:00,65,13:30:00
2020-02-16 14:00:00,70,14:00:00
2020-02-16 14:30:00,74,14:30:00
2020-02-16 15:00:00,74,15:00:00
2020-02-16 15:30:00,65,15:30:00
2020-02-16 16:00:00,60,16:00:00
2020-02-16 16:30:00,55,16:30:00
2020-02-16 17:00:00,49,17:00:00
2020-02-16 17:30:00,51,17:30:00
2020-02-16 18:00:00,49,18:00:00
2020-02-16 18:30:00,52,18:30:00
2020-02-16 19:00:00,51,19:00:00
2020-02-16 19:30:00,49,19:30:00
2020-02-16 20:00:00,49,20:00:00
2020-02-16 20:30:00,45,20:30:00
2020-02-16 21:00:00,48,21:00:00
2020-02-16 21:30:00,46,21:30:00
2020-02-16 22:00:00,45,22:00:00
2020-02-16 22:30:00,47,22:30:00
2020-02-16 23:00:00,48,23:00:00
2020-02-16 23:30:00,47,23:30:00
2020-02-16 23:59:59,47,23:59:59
2020-02-23 00:00:00,51,00:00:00
2020-02-23 00:30:00,54,00:30:00
2020-02-23 01:00:00,54,01:00:00
2020-02-23 01:30:00,54,01:30:00
2020-02-23 02:00:00,54,02:00:00
2020-02-23 02:30:00,56,02:30:00
2020-02-23 03:00:00,56,03:00:00
2020-02-23 03:30:00,56,03:30:00
2020-02-23 04:00:00,55,04:00:00
2020-02-23 04:30:00,55,04:30:00
2020-02-23 05:00:00,55,05:00:00
2020-02-23 05:30:00,55,05:30:00
2020-02-23 06:00:00,57,06:00:00
2020-02-23 06:30:00,60,06:30:00
2020-02-23 07:00:00,59,07:00:00
2020-02-23 07:30:00,59,07:30:00
2020-02-23 08:00:00,62,08:00:00
2020-02-23 08:30:00,65,08:30:00
2020-02-23 09:00:00,66,09:00:00
2020-02-23 09:30:00,68,09:30:00
2020-02-23 10:00:00,70,10:00:00
2020-02-23 10:30:00,65,10:30:00
2020-02-23 11:00:00,65,11:00:00
2020-02-23 11:30:00,66,11:30:00
2020-02-23 12:00:00,66,12:00:00
2020-02-23 12:30:00,62,12:30:00
2020-02-23 13:00:00,59,13:00:00
2020-02-23 13:30:00,52,13:30:00
2020-02-23 14:00:00,61,14:00:00
2020-02-23 14:30:00,73,14:30:00
2020-02-23 15:00:00,74,15:00:00
2020-02-23 15:30:00,73,15:30:00
2020-02-23 16:00:00,71,16:00:00
2020-02-23 16:30:00,73,16:30:00
2020-02-23 17:00:00,72,17:00:00
2020-02-23 17:30:00,66,17:30:00
2020-02-23 18:00:00,65,18:00:00
2020-02-23 18:30:00,65,18:30:00
2020-02-23 19:00:00,66,19:00:00
2020-02-23 19:30:00,63,19:30:00
2020-02-23 20:00:00,60,20:00:00
2020-02-23 20:30:00,57,20:30:00
2020-02-23 21:00:00,56,21:00:00
2020-02-23 21:30:00,54,21:30:00
2020-02-23 22:00:00,53,22:00:00
2020-02-23 22:30:00,55,22:30:00
2020-02-23 23:00:00,57,23:00:00
2020-02-23 23:30:00,61,23:30:00
2020-02-23 23:59:59,62,23:59:59
2020-03-01 00:00:00,47,00:00:00
2020-03-01 00:30:00,47,00:30:00
2020-03-01 01:00:00,46,01:00:00
2020-03-01 01:30:00,47,01:30:00
2020-03-01 02:00:00,47,02:00:00
2020-03-01 02:30:00,48,02:30:00
2020-03-01 03:00:00,48,03:00:00
2020-03-01 03:30:00,48,03:30:00
2020-03-01 04:00:00,48,04:00:00
2020-03-01 04:30:00,48,04:30:00
2020-03-01 05:00:00,48,05:00:00
2020-03-01 05:30:00,49,05:30:00
2020-03-01 06:00:00,49,06:00:00
2020-03-01 06:30:00,51,06:30:00
2020-03-01 07:00:00,54,07:00:00
2020-03-01 07:30:00,52,07:30:00
2020-03-01 08:00:00,52,08:00:00
2020-03-01 08:30:00,54,08:30:00
2020-03-01 09:00:00,51,09:00:00
2020-03-01 09:30:00,51,09:30:00
2020-03-01 10:00:00,52,10:00:00
2020-03-01 10:30:00,57,10:30:00
2020-03-01 11:00:00,61,11:00:00
2020-03-01 11:30:00,63,11:30:00
2020-03-01 12:00:00,62,12:00:00
2020-03-01 12:30:00,63,12:30:00
2020-03-01 13:00:00,59,13:00:00
2020-03-01 13:30:00,52,13:30:00
2020-03-01 14:00:00,57,14:00:00
2020-03-01 14:30:00,64,14:30:00
2020-03-01 15:00:00,67,15:00:00
2020-03-01 15:30:00,60,15:30:00
2020-03-01 16:00:00,57,16:00:00
2020-03-01 16:30:00,60,16:30:00
2020-03-01 17:00:00,58,17:00:00
2020-03-01 17:30:00,63,17:30:00
2020-03-01 18:00:00,59,18:00:00
2020-03-01 18:30:00,57,18:30:00
2020-03-01 19:00:00,56,19:00:00
2020-03-01 19:30:00,53,19:30:00
2020-03-01 20:00:00,55,20:00:00
2020-03-01 20:30:00,57,20:30:00
2020-03-01 21:00:00,57,21:00:00
2020-03-01 21:30:00,57,21:30:00
2020-03-01 22:00:00,57,22:00:00
2020-03-01 22:30:00,57,22:30:00
2020-03-01 23:00:00,55,23:00:00
2020-03-01 23:30:00,55,23:30:00
2020-03-01 23:59:59,54,23:59:59
