ts,connected,time
2020-02-08 00:00:00,0,00:00:00
2020-02-08 00:30:00,5,00:30:00
2020-02-08 01:00:00,10,01:00:00
2020-02-08 01:30:00,12,01:30:00
2020-02-08 02:00:00,18,02:00:00
2020-02-08 02:30:00,21,02:30:00
2020-02-08 03:00:00,21,03:00:00
2020-02-08 03:30:00,21,03:30:00
2020-02-08 04:00:00,20,04:00:00
2020-02-08 04:30:00,23,04:30:00
2020-02-08 05:00:00,24,05:00:00
2020-02-08 05:30:00,25,05:30:00
2020-02-08 06:00:00,27,06:00:00
2020-02-08 06:30:00,31,06:30:00
2020-02-08 07:00:00,35,07:00:00
2020-02-08 07:30:00,44,07:30:00
2020-02-08 08:00:00,47,08:00:00
2020-02-08 08:30:00,53,08:30:00
2020-02-08 09:00:00,70,09:00:00
2020-02-08 09:30:00,87,09:30:00
2020-02-08 10:00:00,97,10:00:00
2020-02-08 10:30:00,104,10:30:00
2020-02-08 11:00:00,124,11:00:00
2020-02-08 11:30:00,133,11:30:00
2020-02-08 12:00:00,141,12:00:00
2020-02-08 12:30:00,137,12:30:00
2020-02-08 13:00:00,143,13:00:00
2020-02-08 13:30:00,148,13:30:00
2020-02-08 14:00:00,148,14:00:00
2020-02-08 14:30:00,151,14:30:00
2020-02-08 15:00:00,141,15:00:00
2020-02-08 15:30:00,125,15:30:00
2020-02-08 16:00:00,130,16:00:00
2020-02-08 16:30:00,130,16:30:00
2020-02-08 17:00:00,138,17:00:00
2020-02-08 17:30:00,130,17:30:00
2020-02-08 18:00:00,132,18:00:00
2020-02-08 18:30:00,141,18:30:00
2020-02-08 19:00:00,144,19:00:00
2020-02-08 19:30:00,141,19:30:00
2020-02-08 20:00:00,138,20:00:00
2020-02-08 20:30:00,133,20:30:00
2020-02-08 21:00:00,137,21:00:00
2020-02-08 21:30:00,128,21:30:00
2020-02-08 22:00:00,121,22:00:00
2020-02-08 22:30:00,116,22:30:00
2020-02-08 23:00:00,116,23:00:00
2020-02-08 23:30:00,113,23:30:00
2020-02-08 23:59:59,112,23:59:59
2020-02-09 00:00:00,112,00:00:00
2020-02-09 00:30:00,113,00:30:00
2020-02-09 01:00:00,115,01:00:00
2020-02-09 01:30:00,115,01:30:00
2020-02-09 02:00:00,119,02:00:00
2020-02-09 02:30:00,120,02:30:00
2020-02-09 03:00:00,121,03:00:00
2020-02-09 03:30:00,121,03:30:00
2020-02-09 04:00:00,120,04:00:00
2020-02-09 04:30:00,125,04:30:00
2020-02-09 05:00:00,125,05:00:00
2020-02-09 05:30:00,125,05:30:00
2020-02-09 06:00:00,125,06:00:00
2020-02-09 06:30:00,123,06:30:00
2020-02-09 07:00:00,127,07:00:00
2020-02-09 07:30:00,133,07:30:00
2020-02-09 08:00:00,127,08:00:00
2020-02-09 08:30:00,130,08:30:00
2020-02-09 09:00:00,136,09:00:00
2020-02-09 09:30:00,140,09:30:00
2020-02-09 10:00:00,143,10:00:00
2020-02-09 10:30:00,161,10:30:00
2020-02-09 11:00:00,165,11:00:00
2020-02-09 11:30:00,169,11:30:00
2020-02-09 12:00:00,165,12:00:00
2020-02-09 12:30:00,161,12:30:00
2020-02-09 13:00:00,171,13:00:00
2020-02-09 13:30:00,177,13:30:00
2020-02-09 14:00:00,169,14:00:00
2020-02-09 14:30:00,169,14:30:00
2020-02-09 15:00:00,165,15:00:00
2020-02-09 15:30:00,144,15:30:00
2020-02-09 16:00:00,145,16:00:00
2020-02-09 16:30:00,139,16:30:00
2020-02-09 17:00:00,139,17:00:00
2020-02-09 17:30:00,142,17:30:00
2020-02-09 18:00:00,143,18:00:00
2020-02-09 18:30:00,138,18:30:00
2020-02-09 19:00:00,136,19:00:00
2020-02-09 19:30:00,134,19:30:00
2020-02-09 20:00:00,126,20:00:00
2020-02-09 20:30:00,119,20:30:00
2020-02-09 21:00:00,114,21:00:00
2020-02-09 21:30:00,110,21:30:00
2020-02-09 22:00:00,111,22:00:00
2020-02-09 22:30:00,111,22:30:00
2020-02-09 23:00:00,112,23:00:00
2020-02-09 23:30:00,110,23:30:00
2020-02-09 23:59:59,109,23:59:59
2020-02-10 00:00:00,109,00:00:00
2020-02-10 00:30:00,109,00:30:00
2020-02-10 01:00:00,109,01:00:00
2020-02-10 01:30:00,109,01:30:00
2020-02-10 02:00:00,108,02:00:00
2020-02-10 02:30:00,109,02:30:00
2020-02-10 03:00:00,109,03:00:00
2020-02-10 03:30:00,109,03:30:00
2020-02-10 04:00:00,109,04:00:00
2020-02-10 04:30:00,108,04:30:00
2020-02-10 05:00:00,108,05:00:00
2020-02-10 05:30:00,107,05:30:00
2020-02-10 06:00:00,111,06:00:00
2020-02-10 06:30:00,106,06:30:00
2020-02-10 07:00:00,100,07:00:00
2020-02-10 07:30:00,97,07:30:00
2020-02-10 08:00:00,105,08:00:00
2020-02-10 08:30:00,129,08:30:00
2020-02-10 09:00:00,140,09:00:00
2020-02-10 09:30:00,143,09:30:00
2020-02-10 10:00:00,149,10:00:00
2020-02-10 10:30:00,156,10:30:00
2020-02-10 11:00:00,145,11:00:00
2020-02-10 11:30:00,147,11:30:00
2020-02-10 12:00:00,153,12:00:00
2020-02-10 12:30:00,141,12:30:00
2020-02-10 13:00:00,152,13:00:00
2020-02-10 13:30:00,149,13:30:00
2020-02-10 14:00:00,156,14:00:00
2020-02-10 14:30:00,151,14:30:00
2020-02-10 15:00:00,148,15:00:00
2020-02-10 15:30:00,143,15:30:00
2020-02-10 16:00:00,142,16:00:00
2020-02-10 16:30:00,140,16:30:00
2020-02-10 17:00:00,140,17:00:00
2020-02-10 17:30:00,140,17:30:00
2020-02-10 18:00:00,152,18:00:00
2020-02-10 18:30:00,169,18:30:00
2020-02-10 19:00:00,171,19:00:00
2020-02-10 19:30:00,171,19:30:00
2020-02-10 20:00:00,172,20:00:00
2020-02-10 20:30:00,163,20:30:00
2020-02-10 21:00:00,167,21:00:00
2020-02-10 21:30:00,156,21:30:00
2020-02-10 22:00:00,160,22:00:00
2020-02-10 22:30:00,166,22:30:00
2020-02-10 23:00:00,167,23:00:00
2020-02-10 23:30:00,170,23:30:00
2020-02-10 23:59:59,173,23:59:59
2020-02-11 00:00:00,173,00:00:00
2020-02-11 00:30:00,176,00:30:00
2020-02-11 01:00:00,180,01:00:00
2020-02-11 01:30:00,183,01:30:00
2020-02-11 02:00:00,189,02:00:00
2020-02-11 02:30:00,192,02:30:00
2020-02-11 03:00:00,194,03:00:00
2020-02-11 03:30:00,196,03:30:00
2020-02-11 04:00:00,199,04:00:00
2020-02-11 04:30:00,199,04:30:00
2020-02-11 05:00:00,200,05:00:00
2020-02-11 05:30:00,199,05:30:00
2020-02-11 06:00:00,188,06:00:00
2020-02-11 06:30:00,181,06:30:00
2020-02-11 07:00:00,161,07:00:00
2020-02-11 07:30:00,152,07:30:00
2020-02-11 08:00:00,157,08:00:00
2020-02-11 08:30:00,169,08:30:00
2020-02-11 09:00:00,173,09:00:00
2020-02-11 09:30:00,170,09:30:00
2020-02-11 10:00:00,172,10:00:00
2020-02-11 10:30:00,160,10:30:00
2020-02-11 11:00:00,157,11:00:00
2020-02-11 11:30:00,159,11:30:00
2020-02-11 12:00:00,171,12:00:00
2020-02-11 12:30:00,158,12:30:00
2020-02-11 13:00:00,157,13:00:00
2020-02-11 13:30:00,159,13:30:00
2020-02-11 14:00:00,147,14:00:00
2020-02-11 14:30:00,142,14:30:00
2020-02-11 15:00:00,134,15:00:00
2020-02-11 15:30:00,127,15:30:00
2020-02-11 16:00:00,131,16:00:00
2020-02-11 16:30:00,131,16:30:00
2020-02-11 17:00:00,124,17:00:00
2020-02-11 17:30:00,132,17:30:00
2020-02-11 18:00:00,134,18:00:00
2020-02-11 18:30:00,146,18:30:00
2020-02-11 19:00:00,148,19:00:00
2020-02-11 19:30:00,150,19:30:00
2020-02-11 20:00:00,150,20:00:00
2020-02-11 20:30:00,157,20:30:00
2020-02-11 21:00:00,146,21:00:00
2020-02-11 21:30:00,137,21:30:00
2020-02-11 22:00:00,136,22:00:00
2020-02-11 22:30:00,132,22:30:00
2020-02-11 23:00:00,129,23:00:00
2020-02-11 23:30:00,130,23:30:00
2020-02-11 23:59:59,131,23:59:59
2020-02-12 00:00:00,131,00:00:00
2020-02-12 00:30:00,130,00:30:00
2020-02-12 01:00:00,131,01:00:00
2020-02-12 01:30:00,131,01:30:00
2020-02-12 02:00:00,132,02:00:00
2020-02-12 02:30:00,132,02:30:00
2020-02-12 03:00:00,132,03:00:00
2020-02-12 03:30:00,132,03:30:00
2020-02-12 04:00:00,133,04:00:00
2020-02-12 04:30:00,133,04:30:00
2020-02-12 05:00:00,130,05:00:00
2020-02-12 05:30:00,129,05:30:00
2020-02-12 06:00:00,131,06:00:00
2020-02-12 06:30:00,122,06:30:00
2020-02-12 07:00:00,126,07:00:00
2020-02-12 07:30:00,117,07:30:00
2020-02-12 08:00:00,132,08:00:00
2020-02-12 08:30:00,136,08:30:00
2020-02-12 09:00:00,150,09:00:00
2020-02-12 09:30:00,159,09:30:00
2020-02-12 10:00:00,168,10:00:00
2020-02-12 10:30:00,169,10:30:00
2020-02-12 11:00:00,176,11:00:00
2020-02-12 11:30:00,175,11:30:00
2020-02-12 12:00:00,170,12:00:00
2020-02-12 12:30:00,170,12:30:00
2020-02-12 13:00:00,162,13:00:00
2020-02-12 13:30:00,162,13:30:00
2020-02-12 14:00:00,165,14:00:00
2020-02-12 14:30:00,157,14:30:00
2020-02-12 15:00:00,149,15:00:00
2020-02-12 15:30:00,150,15:30:00
2020-02-12 16:00:00,157,16:00:00
2020-02-12 16:30:00,146,16:30:00
2020-02-12 17:00:00,145,17:00:00
2020-02-12 17:30:00,152,17:30:00
2020-02-12 18:00:00,161,18:00:00
2020-02-12 18:30:00,166,18:30:00
2020-02-12 19:00:00,164,19:00:00
2020-02-12 19:30:00,163,19:30:00
2020-02-12 20:00:00,172,20:00:00
2020-02-12 20:30:00,172,20:30:00
2020-02-12 21:00:00,169,21:00:00
2020-02-12 21:30:00,165,21:30:00
2020-02-12 22:00:00,160,22:00:00
2020-02-12 22:30:00,158,22:30:00
2020-02-12 23:00:00,165,23:00:00
2020-02-12 23:30:00,169,23:30:00
2020-02-12 23:59:59,170,23:59:59
2020-02-13 00:00:00,170,00:00:00
2020-02-13 00:30:00,173,00:30:00
2020-02-13 01:00:00,178,01:00:00
2020-02-13 01:30:00,179,01:30:00
2020-02-13 02:00:00,179,02:00:00
2020-02-13 02:30:00,182,02:30:00
2020-02-13 03:00:00,187,03:00:00
2020-02-13 03:30:00,190,03:30:00
2020-02-13 04:00:00,190,04:00:00
2020-02-13 04:30:00,189,04:30:00
2020-02-13 05:00:00,187,05:00:00
2020-02-13 05:30:00,188,05:30:00
2020-02-13 06:00:00,182,06:00:00
2020-02-13 06:30:00,172,06:30:00
2020-02-13 07:00:00,156,07:00:00
2020-02-13 07:30:00,166,07:30:00
2020-02-13 08:00:00,155,08:00:00
2020-02-13 08:30:00,166,08:30:00
2020-02-13 09:00:00,192,09:00:00
2020-02-13 09:30:00,192,09:30:00
2020-02-13 10:00:00,191,10:00:00
2020-02-13 10:30:00,199,10:30:00
2020-02-13 11:00:00,205,11:00:00
2020-02-13 11:30:00,209,11:30:00
2020-02-13 12:00:00,209,12:00:00
2020-02-13 12:30:00,199,12:30:00
2020-02-13 13:00:00,196,13:00:00
2020-02-13 13:30:00,189,13:30:00
2020-02-13 14:00:00,179,14:00:00
2020-02-13 14:30:00,173,14:30:00
2020-02-13 15:00:00,166,15:00:00
2020-02-13 15:30:00,154,15:30:00
2020-02-13 16:00:00,156,16:00:00
2020-02-13 16:30:00,156,16:30:00
2020-02-13 17:00:00,156,17:00:00
2020-02-13 17:30:00,163,17:30:00
2020-02-13 18:00:00,161,18:00:00
2020-02-13 18:30:00,158,18:30:00
2020-02-13 19:00:00,170,19:00:00
2020-02-13 19:30:00,176,19:30:00
2020-02-13 20:00:00,179,20:00:00
2020-02-13 20:30:00,177,20:30:00
2020-02-13 21:00:00,168,21:00:00
2020-02-13 21:30:00,162,21:30:00
2020-02-13 22:00:00,160,22:00:00
2020-02-13 22:30:00,163,22:30:00
2020-02-13 23:00:00,163,23:00:00
2020-02-13 23:30:00,165,23:30:00
2020-02-13 23:59:59,168,23:59:59
2020-02-14 00:00:00,168,00:00:00
2020-02-14 00:30:00,170,00:30:00
2020-02-14 01:00:00,173,01:00:00
2020-02-14 01:30:00,178,01:30:00
2020-02-14 02:00:00,184,02:00:00
2020-02-14 02:30:00,186,02:30:00
2020-02-14 03:00:00,189,03:00:00
2020-02-14 03:30:00,191,03:30:00
2020-02-14 04:00:00,193,04:00:00
2020-02-14 04:30:00,194,04:30:00
2020-02-14 05:00:00,191,05:00:00
2020-02-14 05:30:00,186,05:30:00
2020-02-14 06:00:00,184,06:00:00
2020-02-14 06:30:00,179,06:30:00
2020-02-14 07:00:00,163,07:00:00
2020-02-14 07:30:00,160,07:30:00
2020-02-14 08:00:00,180,08:00:00
2020-02-14 08:30:00,188,08:30:00
2020-02-14 09:00:00,185,09:00:00
2020-02-14 09:30:00,194,09:30:00
2020-02-14 10:00:00,204,10:00:00
2020-02-14 10:30:00,197,10:30:00
2020-02-14 11:00:00,209,11:00:00
2020-02-14 11:30:00,205,11:30:00
2020-02-14 12:00:00,200,12:00:00
2020-02-14 12:30:00,196,12:30:00
2020-02-14 13:00:00,194,13:00:00
2020-02-14 13:30:00,181,13:30:00
2020-02-14 14:00:00,177,14:00:00
2020-02-14 14:30:00,174,14:30:00
2020-02-14 15:00:00,176,15:00:00
2020-02-14 15:30:00,165,15:30:00
2020-02-14 16:00:00,170,16:00:00
2020-02-14 16:30:00,173,16:30:00
2020-02-14 17:00:00,168,17:00:00
2020-02-14 17:30:00,176,17:30:00
2020-02-14 18:00:00,182,18:00:00
2020-02-14 18:30:00,185,18:30:00
2020-02-14 19:00:00,197,19:00:00
2020-02-14 19:30:00,195,19:30:00
2020-02-14 20:00:00,191,20:00:00
2020-02-14 20:30:00,176,20:30:00
2020-02-14 21:00:00,165,21:00:00
2020-02-14 21:30:00,154,21:30:00
2020-02-14 22:00:00,151,22:00:00
2020-02-14 22:30:00,151,22:30:00
2020-02-14 23:00:00,152,23:00:00
2020-02-14 23:30:00,158,23:30:00
2020-02-14 23:59:59,153,23:59:59
2020-02-15 00:00:00,153,00:00:00
2020-02-15 00:30:00,154,00:30:00
2020-02-15 01:00:00,158,01:00:00
2020-02-15 01:30:00,162,01:30:00
2020-02-15 02:00:00,160,02:00:00
2020-02-15 02:30:00,162,02:30:00
2020-02-15 03:00:00,162,03:00:00
2020-02-15 03:30:00,163,03:30:00
2020-02-15 04:00:00,163,04:00:00
2020-02-15 04:30:00,167,04:30:00
2020-02-15 05:00:00,168,05:00:00
2020-02-15 05:30:00,170,05:30:00
2020-02-15 06:00:00,168,06:00:00
2020-02-15 06:30:00,169,06:30:00
2020-02-15 07:00:00,166,07:00:00
2020-02-15 07:30:00,174,07:30:00
2020-02-15 08:00:00,181,08:00:00
2020-02-15 08:30:00,186,08:30:00
2020-02-15 09:00:00,190,09:00:00
2020-02-15 09:30:00,188,09:30:00
2020-02-15 10:00:00,197,10:00:00
2020-02-15 10:30:00,195,10:30:00
2020-02-15 11:00:00,186,11:00:00
2020-02-15 11:30:00,184,11:30:00
2020-02-15 12:00:00,189,12:00:00
2020-02-15 12:30:00,180,12:30:00
2020-02-15 13:00:00,169,13:00:00
2020-02-15 13:30:00,175,13:30:00
2020-02-15 14:00:00,174,14:00:00
2020-02-15 14:30:00,175,14:30:00
2020-02-15 15:00:00,169,15:00:00
2020-02-15 15:30:00,147,15:30:00
2020-02-15 16:00:00,138,16:00:00
2020-02-15 16:30:00,144,16:30:00
2020-02-15 17:00:00,127,17:00:00
2020-02-15 17:30:00,130,17:30:00
2020-02-15 18:00:00,135,18:00:00
2020-02-15 18:30:00,145,18:30:00
2020-02-15 19:00:00,153,19:00:00
2020-02-15 19:30:00,153,19:30:00
2020-02-15 20:00:00,145,20:00:00
2020-02-15 20:30:00,142,20:30:00
2020-02-15 21:00:00,136,21:00:00
2020-02-15 21:30:00,129,21:30:00
2020-02-15 22:00:00,119,22:00:00
2020-02-15 22:30:00,118,22:30:00
2020-02-15 23:00:00,115,23:00:00
2020-02-15 23:30:00,116,23:30:00
2020-02-15 23:59:59,113,23:59:59
2020-02-16 00:00:00,113,00:00:00
2020-02-16 00:30:00,110,00:30:00
2020-02-16 01:00:00,108,01:00:00
2020-02-16 01:30:00,108,01:30:00
2020-02-16 02:00:00,108,02:00:00
2020-02-16 02:30:00,109,02:30:00
2020-02-16 03:00:00,110,03:00:00
2020-02-16 03:30:00,112,03:30:00
2020-02-16 04:00:00,114,04:00:00
2020-02-16 04:30:00,116,04:30:00
2020-02-16 05:00:00,117,05:00:00
2020-02-16 05:30:00,117,05:30:00
2020-02-16 06:00:00,116,06:00:00
2020-02-16 06:30:00,120,06:30:00
2020-02-16 07:00:00,125,07:00:00
2020-02-16 07:30:00,122,07:30:00
2020-02-16 08:00:00,129,08:00:00
2020-02-16 08:30:00,130,08:30:00
2020-02-16 09:00:00,144,09:00:00
2020-02-16 09:30:00,151,09:30:00
2020-02-16 10:00:00,159,10:00:00
2020-02-16 10:30:00,158,10:30:00
2020-02-16 11:00:00,157,11:00:00
2020-02-16 11:30:00,157,11:30:00
2020-02-16 12:00:00,166,12:00:00
2020-02-16 12:30:00,165,12:30:00
2020-02-16 13:00:00,169,13:00:00
2020-02-16 13:30:00,178,13:30:00
2020-02-16 14:00:00,190,14:00:00
2020-02-16 14:30:00,192,14:30:00
2020-02-16 15:00:00,187,15:00:00
2020-02-16 15:30:00,182,15:30:00
2020-02-16 16:00:00,183,16:00:00
2020-02-16 16:30:00,175,16:30:00
2020-02-16 17:00:00,166,17:00:00
2020-02-16 17:30:00,166,17:30:00
2020-02-16 18:00:00,162,18:00:00
2020-02-16 18:30:00,163,18:30:00
2020-02-16 19:00:00,162,19:00:00
2020-02-16 19:30:00,163,19:30:00
2020-02-16 20:00:00,165,20:00:00
2020-02-16 20:30:00,164,20:30:00
2020-02-16 21:00:00,161,21:00:00
2020-02-16 21:30:00,154,21:30:00
2020-02-16 22:00:00,147,22:00:00
2020-02-16 22:30:00,149,22:30:00
2020-02-16 23:00:00,149,23:00:00
2020-02-16 23:30:00,149,23:30:00
2020-02-16 23:59:59,149,23:59:59
2020-02-17 00:00:00,149,00:00:00
2020-02-17 00:30:00,151,00:30:00
2020-02-17 01:00:00,149,01:00:00
